,Actual,Predicted,DATE,STATION_CODES,PredictedDelay,Predicted_Delay
0,Rain,Snow,2004-01-01,0,Delay,Delay
1,Snow,Rain,2004-01-02,0,No Delay,None
2,Snow,Rain and Snow Showers Mix,2004-01-03,0,No Delay,Delay
3,Snow,Partly Cloudy and Rain Showers,2004-01-04,0,No Delay,None
4,Snow,Snow,2004-01-05,0,Delay,Delay
5,Rain and Snow Showers Mix,Rain and Snow Showers Mix,2004-01-06,0,No Delay,Delay
6,Rain,Rain,2004-01-07,0,No Delay,None
7,Rain,Rain,2004-01-08,0,No Delay,None
8,Rain,Rain,2004-01-09,0,No Delay,None
9,Rain,Partly Cloudy and Rain Showers,2004-01-10,0,No Delay,None
10,Mostly Cloudy,Mostly Cloudy,2004-01-11,0,No Delay,None
11,Rain,Rain,2004-01-12,0,No Delay,None
12,Partly Cloudy and Rain Showers,Snow,2004-01-13,0,Delay,Delay
13,Rain,Rain,2004-01-14,0,No Delay,None
14,Rain,Rain,2004-01-15,0,No Delay,None
15,Overcast,Fair,2004-01-16,0,No Delay,None
16,Rain,Snow,2004-01-17,0,Delay,Delay
17,Rain,Snow,2004-01-18,0,Delay,Delay
18,Rain,Partly Cloudy and Rain Showers,2004-01-19,0,No Delay,None
19,Overcast,Fair,2004-01-20,0,No Delay,None
20,Overcast,Mostly Cloudy,2004-01-21,0,No Delay,None
21,Partly Cloudy,Fair,2004-01-22,0,No Delay,None
22,Partly Cloudy and Rain Showers,Rain,2004-01-23,0,No Delay,None
23,Rain and Snow Showers Mix,Rain and Snow Showers Mix,2004-01-24,0,No Delay,Delay
24,Overcast,Mostly Cloudy,2004-01-25,0,No Delay,None
25,Rain and Snow Showers Mix,Rain,2004-01-26,0,No Delay,None
26,Rain,Partly Cloudy and Snow Showers,2004-01-27,0,No Delay,None
27,Rain,Partly Cloudy and Rain Showers,2004-01-28,0,No Delay,None
28,Rain,Partly Cloudy and Rain Showers,2004-01-29,0,No Delay,None
29,Rain,Rain,2004-01-30,0,No Delay,None
30,Overcast,Overcast,2004-01-31,0,No Delay,None
31,Rain and Snow Showers Mix,Snow,2004-02-01,0,Delay,Delay
32,Rain and Snow Showers Mix,Rain,2004-02-02,0,No Delay,None
33,Rain and Snow Showers Mix,Rain and Snow Showers Mix,2004-02-03,0,No Delay,Delay
34,Rain and Snow Showers Mix,Snow,2004-02-04,0,Delay,Delay
35,Partly Cloudy,Fair,2004-02-05,0,No Delay,None
36,Rain and Snow Showers Mix,Rain,2004-02-06,0,No Delay,None
37,Snow,Rain,2004-02-07,0,No Delay,None
38,Overcast,Overcast,2004-02-08,0,No Delay,None
39,Mostly Cloudy,Partly Cloudy,2004-02-09,0,No Delay,None
40,Partly Cloudy,Fair,2004-02-10,0,No Delay,None
41,Fair,Fair,2004-02-11,0,No Delay,None
42,Fair,Partly Cloudy,2004-02-12,0,No Delay,None
43,Partly Cloudy and Rain Showers,Rain,2004-02-13,0,No Delay,None
44,Partly Cloudy and Rain Showers,Rain and Snow Showers Mix,2004-02-14,0,No Delay,Delay
45,Rain,Rain,2004-02-15,0,No Delay,None
46,Rain,Rain,2004-02-16,0,No Delay,None
47,Rain,Rain and Snow Showers Mix,2004-02-17,0,No Delay,Delay
48,Rain,Rain,2004-02-18,0,No Delay,None
49,Rain,Partly Cloudy and Rain Showers,2004-02-19,0,No Delay,None
50,Overcast,Overcast,2004-02-20,0,No Delay,None
51,Partly Cloudy,Overcast,2004-02-21,0,No Delay,None
52,Partly Cloudy and Rain Showers,Partly Cloudy and Rain Showers,2004-02-22,0,No Delay,None
53,Overcast,Partly Cloudy,2004-02-23,0,No Delay,None
54,Rain,Snow,2004-02-24,0,Delay,Delay
55,Rain,Rain,2004-02-25,0,No Delay,None
56,Rain,Rain,2004-02-26,0,No Delay,None
57,Rain and Snow Showers Mix,Rain,2004-02-27,0,No Delay,None
58,Mostly Cloudy,Fair,2004-02-28,0,No Delay,None
59,Snow,Rain and Snow Showers Mix,2004-02-29,0,No Delay,Delay
60,Rain,Rain,2004-03-01,0,No Delay,None
61,Overcast,Fair,2004-03-02,0,No Delay,None
62,Rain and Snow Showers Mix,Rain,2004-03-03,0,No Delay,None
63,Rain and Snow Showers Mix,Partly Cloudy and Rain Showers,2004-03-04,0,No Delay,None
64,Rain and Snow Showers Mix,Snow,2004-03-05,0,Delay,Delay
65,Rain,Partly Cloudy and Rain Showers,2004-03-06,0,No Delay,None
66,Overcast,Mostly Cloudy,2004-03-07,0,No Delay,None
67,Partly Cloudy,Partly Cloudy,2004-03-08,0,No Delay,None
68,Fair,Fair,2004-03-09,0,No Delay,None
69,Fair,Fair,2004-03-10,0,No Delay,None
70,Fair,Partly Cloudy,2004-03-11,0,No Delay,None
71,Fair,Fair,2004-03-12,0,No Delay,None
72,Fair,Mostly Cloudy,2004-03-13,0,No Delay,None
73,Fair,Fair,2004-03-14,0,No Delay,None
74,Fair,Fair,2004-03-15,0,No Delay,None
75,Fair,Fair,2004-03-16,0,No Delay,None
76,Fair,Overcast,2004-03-17,0,No Delay,None
77,Fair,Mostly Cloudy,2004-03-18,0,No Delay,None
78,Fair,Mostly Cloudy,2004-03-19,0,No Delay,None
79,Fair,Partly Cloudy,2004-03-20,0,No Delay,None
80,Partly Cloudy,Partly Cloudy,2004-03-21,0,No Delay,None
81,Partly Cloudy,Fair,2004-03-22,0,No Delay,None
82,Mostly Cloudy,Partly Cloudy,2004-03-23,0,No Delay,None
83,Partly Cloudy and Rain Showers,Rain and Snow Showers Mix,2004-03-24,0,No Delay,Delay
84,Rain and Snow Showers Mix,Rain,2004-03-25,0,No Delay,None
85,Rain and Snow Showers Mix,Partly Cloudy and Rain Showers,2004-03-26,0,No Delay,None
86,Rain,Snow,2004-03-27,0,Delay,Delay
87,Overcast,Fair,2004-03-28,0,No Delay,None
88,Partly Cloudy,Fair,2004-03-29,0,No Delay,None
89,Rain and Snow Showers Mix,Snow,2004-03-30,0,Delay,Delay
90,Rain and Snow Showers Mix,Snow,2004-03-31,0,Delay,Delay
91,Overcast,Fair,2004-04-01,0,No Delay,None
92,Mostly Cloudy,Fair,2004-04-02,0,No Delay,None
93,Fair,Fair,2004-04-03,0,No Delay,None
94,Fair,Partly Cloudy,2004-04-04,0,No Delay,None
95,Fair,Mostly Cloudy,2004-04-05,0,No Delay,None
96,Fair,Fair,2004-04-06,0,No Delay,None
97,Overcast,Overcast,2004-04-07,0,No Delay,None
98,Mostly Cloudy,Fair,2004-04-08,0,No Delay,None
99,Fair,Partly Cloudy,2004-04-09,0,No Delay,None
100,Fair,Fair,2004-04-10,0,No Delay,None
101,Fair,Fair,2004-04-11,0,No Delay,None
102,Fair,Partly Cloudy,2004-04-12,0,No Delay,None
103,Partly Cloudy and Rain Showers,Rain and Snow Showers Mix,2004-04-13,0,No Delay,Delay
104,Rain and Snow Showers Mix,Rain,2004-04-14,0,No Delay,None
105,Rain and Snow Showers Mix,Partly Cloudy and Rain Showers,2004-04-15,0,No Delay,None
106,Rain,Rain and Snow Showers Mix,2004-04-16,0,No Delay,Delay
107,Rain,Rain,2004-04-17,0,No Delay,None
108,Rain,Snow,2004-04-18,0,Delay,Delay
109,Rain,Rain,2004-04-19,0,No Delay,None
110,Rain and Snow Showers Mix,Rain,2004-04-20,0,No Delay,None
111,Rain,Partly Cloudy and Rain Showers,2004-04-21,0,No Delay,None
112,Rain,Partly Cloudy and Rain Showers,2004-04-22,0,No Delay,None
113,Overcast,Mostly Cloudy,2004-04-23,0,No Delay,None
114,Partly Cloudy,Partly Cloudy,2004-04-24,0,No Delay,None
115,Partly Cloudy,Mostly Cloudy,2004-04-25,0,No Delay,None
116,Fair,Mostly Cloudy,2004-04-26,0,No Delay,None
117,Fair,Fair,2004-04-27,0,No Delay,None
118,Fair,Fair,2004-04-28,0,No Delay,None
119,Fair,Fair,2004-04-29,0,No Delay,None
120,Fair,Fair,2004-04-30,0,No Delay,None
121,Fair,Fair,2004-05-01,0,No Delay,None
122,Fair,Mostly Cloudy,2004-05-02,0,No Delay,None
123,Fair,Fair,2004-05-03,0,No Delay,None
124,Fair,Fair,2004-05-04,0,No Delay,None
125,Fair,Fair,2004-05-05,0,No Delay,None
126,Partly Cloudy and Rain Showers,Partly Cloudy and Rain Showers,2004-05-06,0,No Delay,None
127,Partly Cloudy and Rain Showers,Rain,2004-05-07,0,No Delay,None
128,Partly Cloudy and Rain Showers,Snow,2004-05-08,0,Delay,Delay
129,Mostly Cloudy,Overcast,2004-05-09,0,No Delay,None
130,Rain,Snow,2004-05-10,0,Delay,Delay
131,Rain,Partly Cloudy and Rain Showers,2004-05-11,0,No Delay,None
132,Overcast,Mostly Cloudy,2004-05-12,0,No Delay,None
133,Mostly Cloudy,Fair,2004-05-13,0,No Delay,None
134,Fair,Fair,2004-05-14,0,No Delay,None
135,Fair,Overcast,2004-05-15,0,No Delay,None
136,Fair,Fair,2004-05-16,0,No Delay,None
137,Rain,Rain,2004-05-17,0,No Delay,None
138,Partly Cloudy and Rain Showers,Rain,2004-05-18,0,No Delay,None
139,Rain,Partly Cloudy and Rain Showers,2004-05-19,0,No Delay,None
140,Overcast,Fair,2004-05-20,0,No Delay,None
141,Partly Cloudy,Mostly Cloudy,2004-05-21,0,No Delay,None
142,Fair,Mostly Cloudy,2004-05-22,0,No Delay,None
143,Fair,Mostly Cloudy,2004-05-23,0,No Delay,None
144,Partly Cloudy,Fair,2004-05-24,0,No Delay,None
145,Fair,Fair,2004-05-25,0,No Delay,None
146,Fair,Partly Cloudy,2004-05-26,0,No Delay,None
147,Partly Cloudy and Rain Showers,Partly Cloudy and Rain Showers,2004-05-27,0,No Delay,None
148,Rain,Partly Cloudy and Rain Showers,2004-05-28,0,No Delay,None
149,Overcast,Fair,2004-05-29,0,No Delay,None
150,Mostly Cloudy,Mostly Cloudy,2004-05-30,0,No Delay,None
151,Partly Cloudy,Fair,2004-05-31,0,No Delay,None
152,Fair,Fair,2004-06-01,0,No Delay,None
153,Partly Cloudy,Fair,2004-06-02,0,No Delay,None
154,Fair,Fair,2004-06-03,0,No Delay,None
155,Partly Cloudy,Fair,2004-06-04,0,No Delay,None
156,Partly Cloudy and Rain Showers,Rain,2004-06-05,0,No Delay,None
157,Partly Cloudy,Overcast,2004-06-06,0,No Delay,None
158,Rain,Rain,2004-06-07,0,No Delay,None
159,Rain,Partly Cloudy and Rain Showers,2004-06-08,0,No Delay,None
160,Rain,Partly Cloudy and Rain Showers,2004-06-09,0,No Delay,None
161,Rain,Rain,2004-06-10,0,No Delay,None
162,Overcast,Fair,2004-06-11,0,No Delay,None
163,Overcast,Fair,2004-06-12,0,No Delay,None
164,Partly Cloudy,Fair,2004-06-13,0,No Delay,None
165,Mostly Cloudy,Fair,2004-06-14,0,No Delay,None
166,Partly Cloudy,Fair,2004-06-15,0,No Delay,None
167,Partly Cloudy,Mostly Cloudy,2004-06-16,0,No Delay,None
168,Fair,Overcast,2004-06-17,0,No Delay,None
169,Fair,Mostly Cloudy,2004-06-18,0,No Delay,None
170,Fair,Mostly Cloudy,2004-06-19,0,No Delay,None
171,Fair,Fair,2004-06-20,0,No Delay,None
172,Partly Cloudy,Fair,2004-06-21,0,No Delay,None
173,Fair,Fair,2004-06-22,0,No Delay,None
174,Fair,Fair,2004-06-23,0,No Delay,None
175,Fair,Fair,2004-06-24,0,No Delay,None
176,Partly Cloudy,Fair,2004-06-25,0,No Delay,None
177,Partly Cloudy,Fair,2004-06-26,0,No Delay,None
178,Fair,Fair,2004-06-27,0,No Delay,None
179,Fair,Fair,2004-06-28,0,No Delay,None
180,Fair,Overcast,2004-06-29,0,No Delay,None
181,Fair,Fair,2004-06-30,0,No Delay,None
182,Partly Cloudy,Fair,2004-07-01,0,No Delay,None
183,Partly Cloudy,Partly Cloudy,2004-07-02,0,No Delay,None
184,Fair,Fair,2004-07-03,0,No Delay,None
185,Mostly Cloudy,Fair,2004-07-04,0,No Delay,None
186,Fair,Fair,2004-07-05,0,No Delay,None
187,Fair,Fair,2004-07-06,0,No Delay,None
188,Partly Cloudy,Mostly Cloudy,2004-07-07,0,No Delay,None
189,Fair,Fair,2004-07-08,0,No Delay,None
190,Fair,Fair,2004-07-09,0,No Delay,None
191,Partly Cloudy,Fair,2004-07-10,0,No Delay,None
192,Fair,Fair,2004-07-11,0,No Delay,None
193,Partly Cloudy,Fair,2004-07-12,0,No Delay,None
194,Fair,Fair,2004-07-13,0,No Delay,None
195,Fair,Fair,2004-07-14,0,No Delay,None
196,Fair,Fair,2004-07-15,0,No Delay,None
197,Fair,Fair,2004-07-16,0,No Delay,None
198,Fair,Fair,2004-07-17,0,No Delay,None
199,Fair,Fair,2004-07-18,0,No Delay,None
200,Fair,Overcast,2004-07-19,0,No Delay,None
201,Partly Cloudy,Fair,2004-07-20,0,No Delay,None
202,Fair,Fair,2004-07-21,0,No Delay,None
203,Fair,Fair,2004-07-22,0,No Delay,None
204,Fair,Fair,2004-07-23,0,No Delay,None
205,Fair,Fair,2004-07-24,0,No Delay,None
206,Fair,Fair,2004-07-25,0,No Delay,None
207,Fair,Fair,2004-07-26,0,No Delay,None
208,Fair,Fair,2004-07-27,0,No Delay,None
209,Fair,Partly Cloudy,2004-07-28,0,No Delay,None
210,Fair,Fair,2004-07-29,0,No Delay,None
211,Fair,Partly Cloudy,2004-07-30,0,No Delay,None
212,Fair,Overcast,2004-07-31,0,No Delay,None
213,Fair,Fair,2004-08-01,0,No Delay,None
214,Fair,Fair,2004-08-02,0,No Delay,None
215,Fair,Fair,2004-08-03,0,No Delay,None
216,Fair,Fair,2004-08-04,0,No Delay,None
217,Fair,Fair,2004-08-05,0,No Delay,None
218,Partly Cloudy and Rain Showers,Partly Cloudy and Rain Showers,2004-08-06,0,No Delay,None
219,Partly Cloudy,Fair,2004-08-07,0,No Delay,None
220,Partly Cloudy,Fair,2004-08-08,0,No Delay,None
221,Fair,Fair,2004-08-09,0,No Delay,None
222,Fair,Fair,2004-08-10,0,No Delay,None
223,Fair,Fair,2004-08-11,0,No Delay,None
224,Fair,Fair,2004-08-12,0,No Delay,None
225,Fair,Fair,2004-08-13,0,No Delay,None
226,Fair,Fair,2004-08-14,0,No Delay,None
227,Fair,Fair,2004-08-15,0,No Delay,None
228,Fair,Fair,2004-08-16,0,No Delay,None
229,Fair,Fair,2004-08-17,0,No Delay,None
230,Fair,Fair,2004-08-18,0,No Delay,None
231,Fair,Fair,2004-08-19,0,No Delay,None
232,Fair,Overcast,2004-08-20,0,No Delay,None
233,Fair,Fair,2004-08-21,0,No Delay,None
234,Partly Cloudy and Rain Showers,Rain,2004-08-22,0,No Delay,None
235,Rain,Partly Cloudy and Rain Showers,2004-08-23,0,No Delay,None
236,Mostly Cloudy,Mostly Cloudy,2004-08-24,0,No Delay,None
237,Partly Cloudy and Rain Showers,Rain,2004-08-25,0,No Delay,None
238,Rain,Snow,2004-08-26,0,Delay,Delay
239,Rain,Partly Cloudy and Rain Showers,2004-08-27,0,No Delay,None
240,Mostly Cloudy,Fair,2004-08-28,0,No Delay,None
241,Fair,Fair,2004-08-29,0,No Delay,None
242,Fair,Fair,2004-08-30,0,No Delay,None
243,Fair,Fair,2004-08-31,0,No Delay,None
244,Fair,Overcast,2004-09-01,0,No Delay,None
245,Partly Cloudy and Rain Showers,Rain and Snow Showers Mix,2004-09-02,0,No Delay,Delay
246,Fair,Mostly Cloudy,2004-09-03,0,No Delay,None
247,Fair,Fair,2004-09-04,0,No Delay,None
248,Fair,Fair,2004-09-05,0,No Delay,None
249,Fair,Fair,2004-09-06,0,No Delay,None
250,Fair,Fair,2004-09-07,0,No Delay,None
251,Fair,Fair,2004-09-08,0,No Delay,None
252,Fair,Mostly Cloudy,2004-09-09,0,No Delay,None
253,Fair,Fair,2004-09-10,0,No Delay,None
254,Fair,Fair,2004-09-11,0,No Delay,None
255,Fair,Overcast,2004-09-12,0,No Delay,None
256,Partly Cloudy and Rain Showers,Rain and Snow Showers Mix,2004-09-13,0,No Delay,Delay
257,Mostly Cloudy,Partly Cloudy,2004-09-14,0,No Delay,None
258,Rain,Rain,2004-09-15,0,No Delay,None
259,Fair,Fair,2004-09-16,0,No Delay,None
260,Rain,Rain,2004-09-17,0,No Delay,None
261,Partly Cloudy and Rain Showers,Rain,2004-09-18,0,No Delay,None
262,Rain,Rain,2004-09-19,0,No Delay,None
263,Mostly Cloudy,Fair,2004-09-20,0,No Delay,None
264,Overcast,Fair,2004-09-21,0,No Delay,None
265,Partly Cloudy,Fair,2004-09-22,0,No Delay,None
266,Fair,Fair,2004-09-23,0,No Delay,None
267,Fair,Fair,2004-09-24,0,No Delay,None
268,Fair,Partly Cloudy,2004-09-25,0,No Delay,None
269,Fair,Fair,2004-09-26,0,No Delay,None
270,Fair,Fair,2004-09-27,0,No Delay,None
271,Partly Cloudy,Mostly Cloudy,2004-09-28,0,No Delay,None
272,Fair,Overcast,2004-09-29,0,No Delay,None
273,Fair,Fair,2004-09-30,0,No Delay,None
274,Partly Cloudy,Fair,2004-10-01,0,No Delay,None
275,Partly Cloudy,Partly Cloudy,2004-10-02,0,No Delay,None
276,Fair,Fair,2004-10-03,0,No Delay,None
277,Fair,Mostly Cloudy,2004-10-04,0,No Delay,None
278,Fair,Mostly Cloudy,2004-10-05,0,No Delay,None
279,Partly Cloudy and Rain Showers,Partly Cloudy and Rain Showers,2004-10-06,0,No Delay,None
280,Fair,Fair,2004-10-07,0,No Delay,None
281,Partly Cloudy and Rain Showers,Rain,2004-10-08,0,No Delay,None
282,Fair,Fair,2004-10-09,0,No Delay,None
283,Partly Cloudy,Fair,2004-10-10,0,No Delay,None
284,Partly Cloudy,Partly Cloudy,2004-10-11,0,No Delay,None
285,Fair,Fair,2004-10-12,0,No Delay,None
286,Fair,Fair,2004-10-13,0,No Delay,None
287,Fair,Fair,2004-10-14,0,No Delay,None
288,Fair,Fair,2004-10-15,0,No Delay,None
289,Partly Cloudy and Rain Showers,Rain,2004-10-16,0,No Delay,None
290,Partly Cloudy and Rain Showers,Partly Cloudy and Rain Showers,2004-10-17,0,No Delay,None
291,Partly Cloudy and Rain Showers,Partly Cloudy and Rain Showers,2004-10-18,0,No Delay,None
292,Rain,Rain and Snow Showers Mix,2004-10-19,0,No Delay,Delay
293,Overcast,Partly Cloudy,2004-10-20,0,No Delay,None
294,Overcast,Overcast,2004-10-21,0,No Delay,None
295,Rain,Rain,2004-10-22,0,No Delay,None
296,Partly Cloudy and Rain Showers,Rain,2004-10-23,0,No Delay,None
297,Overcast,Overcast,2004-10-24,0,No Delay,None
298,Rain,Rain,2004-10-25,0,No Delay,None
299,Rain and Snow Showers Mix,Rain and Snow Showers Mix,2004-10-26,0,No Delay,Delay
300,Overcast,Overcast,2004-10-27,0,No Delay,None
301,Rain,Snow,2004-10-28,0,Delay,Delay
302,Rain,Rain,2004-10-29,0,No Delay,None
303,Rain,Rain,2004-10-30,0,No Delay,None
304,Rain,Partly Cloudy and Rain Showers,2004-10-31,0,No Delay,None
305,Mostly Cloudy,Partly Cloudy,2004-11-01,0,No Delay,None
306,Partly Cloudy and Rain Showers,Rain,2004-11-02,0,No Delay,None
307,Rain and Snow Showers Mix,Rain,2004-11-03,0,No Delay,None
308,Mostly Cloudy,Fair,2004-11-04,0,No Delay,None
309,Partly Cloudy,Fair,2004-11-05,0,No Delay,None
310,Fair,Fair,2004-11-06,0,No Delay,None
311,Fair,Fair,2004-11-07,0,No Delay,None
312,Fair,Fair,2004-11-08,0,No Delay,None
313,Fair,Fair,2004-11-09,0,No Delay,None
314,Partly Cloudy and Rain Showers,Snow,2004-11-10,0,Delay,Delay
315,Overcast,Overcast,2004-11-11,0,No Delay,None
316,Rain,Rain and Snow Showers Mix,2004-11-12,0,No Delay,Delay
317,Partly Cloudy and Rain Showers,Rain,2004-11-13,0,No Delay,None
318,Overcast,Overcast,2004-11-14,0,No Delay,None
319,Rain,Rain,2004-11-15,0,No Delay,None
320,Overcast,Overcast,2004-11-16,0,No Delay,None
321,Overcast,Overcast,2004-11-17,0,No Delay,None
322,Partly Cloudy and Rain Showers,Partly Cloudy and Rain Showers,2004-11-18,0,No Delay,None
323,Partly Cloudy,Fair,2004-11-19,0,No Delay,None
324,Overcast,Overcast,2004-11-20,0,No Delay,None
325,Fair,Fair,2004-11-21,0,No Delay,None
326,Mostly Cloudy,Overcast,2004-11-22,0,No Delay,None
327,Partly Cloudy,Overcast,2004-11-23,0,No Delay,None
328,Rain,Partly Cloudy and Rain Showers,2004-11-24,0,No Delay,None
329,Rain,Partly Cloudy and Rain Showers,2004-11-25,0,No Delay,None
330,Rain and Snow Showers Mix,Rain,2004-11-26,0,No Delay,None
331,Snow,Rain,2004-11-27,0,No Delay,None
332,Overcast,Overcast,2004-11-28,0,No Delay,None
333,Mostly Cloudy,Overcast,2004-11-29,0,No Delay,None
334,Rain and Snow Showers Mix,Rain and Snow Showers Mix,2004-11-30,0,No Delay,Delay
335,Snow,Partly Cloudy and Rain Showers,2004-12-01,0,No Delay,None
336,Overcast,Fair,2004-12-02,0,No Delay,None
337,Overcast,Partly Cloudy,2004-12-03,0,No Delay,None
338,Partly Cloudy,Overcast,2004-12-04,0,No Delay,None
339,Partly Cloudy and Snow Showers,Rain,2004-12-05,0,No Delay,None
340,Snow,Snow,2004-12-06,0,Delay,Delay
341,Rain and Snow Showers Mix,Rain,2004-12-07,0,No Delay,None
342,Rain,Rain,2004-12-08,0,No Delay,None
343,Rain,Rain,2004-12-09,0,No Delay,None
344,Rain,Snow,2004-12-10,0,Delay,Delay
345,Overcast,Overcast,2004-12-11,0,No Delay,None
346,Rain,Snow,2004-12-12,0,Delay,Delay
347,Rain,Rain,2004-12-13,0,No Delay,None
348,Rain,Snow,2004-12-14,0,Delay,Delay
349,Overcast,Overcast,2004-12-15,0,No Delay,None
350,Fair,Overcast,2004-12-16,0,No Delay,None
351,Overcast,Fair,2004-12-17,0,No Delay,None
352,Overcast,Overcast,2004-12-18,0,No Delay,None
353,Mostly Cloudy,Overcast,2004-12-19,0,No Delay,None
354,Fair,Mostly Cloudy,2004-12-20,0,No Delay,None
355,Mostly Cloudy,Overcast,2004-12-21,0,No Delay,None
356,Mostly Cloudy,Overcast,2004-12-22,0,No Delay,None
357,Mostly Cloudy,Overcast,2004-12-23,0,No Delay,None
358,Partly Cloudy,Mostly Cloudy,2004-12-24,0,No Delay,None
359,Rain,Rain,2004-12-25,0,No Delay,None
360,Snow,Rain,2004-12-26,0,No Delay,None
361,Overcast,Overcast,2004-12-27,0,No Delay,None
362,Rain,Partly Cloudy and Rain Showers,2004-12-28,0,No Delay,None
363,Rain and Snow Showers Mix,Rain,2004-12-29,0,No Delay,None
364,Snow,Partly Cloudy and Rain Showers,2004-12-30,0,No Delay,None
365,Rain and Snow Showers Mix,Rain,2004-12-31,0,No Delay,None
366,Rain and Snow,Rain and Snow Showers Mix,2005-01-01,0,No Delay,Delay
367,Mostly Cloudy,Mostly Cloudy,2005-01-02,0,No Delay,None
368,Mostly Cloudy,Snow,2005-01-03,0,Delay,Delay
369,Mostly Cloudy,Mostly Cloudy,2005-01-04,0,No Delay,None
370,Mostly Cloudy,Fair,2005-01-05,0,No Delay,None
371,Mostly Cloudy,Overcast,2005-01-06,0,No Delay,None
372,Mostly Cloudy,Rain,2005-01-07,0,No Delay,None
373,Snow,Partly Cloudy and Rain Showers,2005-01-08,0,No Delay,None
374,Mostly Cloudy,Mostly Cloudy,2005-01-09,0,No Delay,None
375,Fog,Rain,2005-01-10,0,No Delay,None
376,Mostly Cloudy,Fair,2005-01-11,0,No Delay,None
377,Mostly Cloudy,Overcast,2005-01-12,0,No Delay,None
378,Clear,Fair,2005-01-13,0,No Delay,None
379,Rain and Snow,Partly Cloudy and Rain Showers,2005-01-14,0,No Delay,None
380,Rain,Partly Cloudy and Rain Showers,2005-01-15,0,No Delay,None
381,Mostly Cloudy,Snow,2005-01-16,0,Delay,Delay
382,Mostly Cloudy,Overcast,2005-01-17,0,No Delay,None
383,Fog,Overcast,2005-01-18,0,No Delay,None
384,Fog,Rain and Snow Showers Mix,2005-01-19,0,No Delay,Delay
385,Fog,Overcast,2005-01-20,0,No Delay,None
386,Fog,Fair,2005-01-21,0,No Delay,None
387,Fog,Overcast,2005-01-22,0,No Delay,None
388,Clear,Overcast,2005-01-23,0,No Delay,None
389,Fog,Partly Cloudy,2005-01-24,0,No Delay,None
390,Mostly Cloudy,Overcast,2005-01-25,0,No Delay,None
391,Mostly Cloudy,Overcast,2005-01-26,0,No Delay,None
392,Mostly Cloudy,Rain,2005-01-27,0,No Delay,None
393,Mostly Cloudy,Overcast,2005-01-28,0,No Delay,None
394,Mostly Cloudy,Snow,2005-01-29,0,Delay,Delay
395,Clear,Rain,2005-01-30,0,No Delay,None
396,Clear,Fair,2005-01-31,0,No Delay,None
397,Clear,Partly Cloudy,2005-02-01,0,No Delay,None
398,Clear,Fair,2005-02-02,0,No Delay,None
399,Clear,Fair,2005-02-03,0,No Delay,None
