DATE,HIGH_TEMP_F,LOW_TEMP__F,AVG_DAILY_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_XN_F,NORMAL_HIGH_TEMP__F,NORMAL_LOW_TEMP__F,NORMAL_AVG_DAILY_TEMP_ALL_HOURS__F,NORMAL_AVG_DAILY_TEMP_XN__F,DFN_HIGH_TEMP__F,DFN_LOW_TEMP__F,DFN_AVG_DAILY_TEMP_ALL_HOURS__F,DFN_AVG_DAILY_TEMP_XN__F,WARMEST_WINDCHILL_TEMP__F,COLDEST_WINDCHILL_TEMP__F,AVG_DAILY_WINDCHILL_TEMP_ALL_HOURS__F,MAXIMUM_WIND_CHILL_ENERGY__WMEXP2_ALL_HOURS,MINIMUM_WIND_CHILL_ENERGY__WMEXP2_ALL_HOURS,DAILY_AVG_WIND_CHILL_ENERGY__WMEXP2_ALL_HOURS,EXT_MAX__WARM,EXT_MAX__WARM_DATE,EXT_MAX__COLD,EXT_MAX__COLD_DATE,EXT_MIN__WARM,EXT_MIN__WARM_DATE,EXT_MIN__COLD,EXT_MIN__COLD_DATE,NORMAL_HIGHEST_DEW_POINT_TEMP__F,NORMAL_LOWEST_DEW_POINT_TEMP__F,NORMAL_AVG_DAILY_DEW_POINT_TEMP_ALL_HOURS__F,NORMAL_HIGHEST_RELATIVE_HUMIDITY_%,NORMAL_LOWEST_RELATIVE_HUMIDITY_%,NORMAL_AVG_DAILY_RELATIVE_HUMIDITY_ALL_HOURS_%,NORMAL_HIGHEST_WET_BULB_TEMP__F,NORMAL_LOWEST_WET_BULB_TEMP__F,NORMAL_AVG_DAILY_WET_BULB_TEMP_ALL_HOURS__F,HEATING_DEGREE_DAYS_XN__BASE_OF_65_F,NORMAL_HEATING_DEGREE_DAYS_XN__BASE_OF_65_F,DEPART_NORMAL__HDDS_FROM_XN__BASE_OF_65_F,HEATING_DEGREE_DAYS_ALL_HOURS__BASE_OF_65_F,NORMAL_HDDS_ALL_HOURS__BASE_OF_65_F,DEPART_NORMAL__HDDS_ALL_HOURS__BASE_OF_65_F,COOLING_DEGREE_DAYS_XN__BASE_OF_65_F,NORMAL_COOLING_DEGREE_DAYS_XN__BASE_OF_65_F,DEPART_NORMAL__CDDS_FROM_XN__BASE_OF_65_F,COOLING_DEGREE_DAYS_ALL_HOURS__BASE_OF_65_F,NORMAL_CDDS_ALL_HOURS__BASE_OF_65_F,DEPART_NORMAL__CDDS_ALL_HOURS__BASE_OF_65_F,EFFECTIVE_DEGREE_DAYS_XN__BASE_OF_65_F,NORMAL_EFFECTIVE_DEGREE_DAYS_XN__BASE_OF_65_F,DEPART_NORMAL__EDDS_FROM_XN__BASE_OF_65_F,EFFECTIVE_DEGREE_DAYS_ALL_HOURS__BASE_OF_65_F,NORMAL_EDDS_ALL_HOURS__BASE_OF_65_F,DEPART_NORMAL__EDDS_ALL_HOURS__BASE_OF_65_F,GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,NORMAL_GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,GROWING_DEGREE_DAYS_ALL_HOURS__BASE_OF_50_F,NORMAL_GROWING_DEGREE_DAYS_ALL_HOURS__BASE_OF_50_F,AVG_DAILY_SOIL_TEMP_WBI_CALC__F,HIGHEST_SUSTAIN_SPEED__MPH,LOWEST_SUSTAIN_SPEED__MPH,AVG_DAILY_WIND_SPEED_ALL_HOURS_MPH,PREDOMINATE_WIND_DIR__DEG,NORMAL_AVG_DAILY_WIND_SPEED_ALL_HOURS_MPH,AVG_DAILY_CLOUD_COVER_ALL_HOURS_%,MAXIMUM_SOLAR_RADIANCE__WMEXP2,MINIMUM_SOLAR_RADIANCE__WMEXP2,AVG_SOLAR_RADIANCE__WMEXP2,MAXIMUM_SOLAR_RADIANCE__FTCANDLES,MINIMUM_SOLAR_RADIANCE__FTCANDLES,AVG_SOLAR_RADIANCE__FTCANDLES,TOTAL_MINUTES_OF_SUNSHINE_CALCULATED,TOT_MIN_OF_SUNSHINE_POSSIBLE_ON_CLOUDFREE_DAY,PERCENT_OF_SUNSHINE_POSSIBLE_CALCTOTAL_POSSIBLE,NORMAL_TOTAL_DAILY_WATER_EQUIVALENT_INCHES,SNOWFALL__WBI_CALCULATED;_SUM_OF_ALL_HOURS,AVG_POPS_ON_FCST_DATA__OR__%_OF_DAY_WITH_PRECIP,OBSERVED_DAILY_WATER_EQUIVALENT_INCHES,STATION_CODES,WBI_24_LETTER_CODE_ALL_HOURS_CODES
2005-01-01,37.0,33.1,35.1,35.1,41.0,30.0,34.7,35.6,-4.0,3.1,0.4,-0.5,36.0,29.5,34.5,855,322,438,57.9,1946,10.0,1979,45.0,1981,-6.0,1979,30.0,28.9,29.8,96,65,83,36.5,29.7,32.7,29.9,29.3,0.5,29.9,30.2,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,30.2,29.7,0.5,30.2,30.6,-0.4,0.0,0.0,0.0,0.0,32.0,5.0,0.0,1.0,0,9.1,100,157,0,47,1147,0,345,0,527,0,0.14,0.0,78,0.21,17,10
2005-01-02,36.0,32.0,34.0,34.0,41.0,30.0,34.7,35.6,-5.0,2.0,-0.7,-1.6,36.0,27.9,31.8,977,322,630,60.1,1996,19.9,1979,44.1,1981,6.1,1947,30.0,28.9,29.5,96,62,82,36.5,29.7,32.7,31.0,29.3,1.6,31.0,30.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,32.0,30.2,1.8,32.0,31.1,0.9,0.0,0.0,0.0,0.0,32.0,9.0,0.0,3.2,0,9.3,100,157,0,47,1147,0,345,0,528,0,0.14,0.2,29,0.18,17,11
2005-01-03,34.0,30.2,32.7,32.0,41.0,30.0,34.7,35.6,-7.0,0.2,-2.0,-3.6,34.0,20.1,28.2,1192,334,840,59.0,1983,16.0,1974,42.1,2003,-2.0,1942,30.0,28.0,29.1,96,62,81,36.1,29.3,32.5,32.9,29.3,3.6,32.2,30.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,31.3,3.8,34.4,32.2,2.2,0.0,0.0,0.0,0.0,32.0,16.0,0.0,6.8,92,9.3,100,157,0,47,1147,0,345,0,529,0,0.14,0.0,0,0.0,17,4
2005-01-04,35.1,21.0,29.5,28.0,41.0,30.0,34.7,35.6,-5.9,-9.0,-5.2,-7.6,30.9,12.6,24.4,1168,352,898,57.9,2001,10.9,2004,42.1,1933,-6.0,1942,30.0,28.0,28.9,92,62,80,36.1,29.3,32.5,36.9,29.3,7.6,35.5,30.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,38.9,31.0,7.9,37.3,31.9,5.4,0.0,0.0,0.0,0.0,32.0,8.0,0.0,5.2,95,9.4,60,754,0,104,5503,0,757,144,530,27,0.14,0.0,0,0.0,17,4
2005-01-05,30.9,15.1,22.1,23.0,41.0,30.0,34.7,35.6,-10.1,-14.9,-12.6,-12.6,30.0,8.2,20.3,1123,357,683,55.9,1966,12.9,1974,42.1,1983,-6.0,1937,30.0,28.0,29.5,96,65,82,36.5,29.3,32.5,41.9,29.3,12.6,42.8,30.2,12.6,0.0,0.0,0.0,0.0,0.0,0.0,42.8,29.9,13.0,43.7,30.8,13.0,0.0,0.0,0.0,0.0,32.0,6.0,0.0,2.1,0,9.4,19,785,0,221,5732,0,1612,481,531,91,0.14,0.0,0,0.0,17,8
2005-01-06,37.0,19.9,28.9,28.4,41.0,30.0,34.7,35.6,-4.0,-10.1,-5.8,-7.2,36.0,21.0,28.9,910,322,437,63.0,1983,10.0,1937,52.0,1962,-9.0,1937,30.0,28.0,29.5,96,65,82,36.5,29.3,32.7,36.5,29.3,7.2,36.0,30.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,36.7,29.5,7.2,36.2,30.4,5.8,0.0,0.0,0.0,0.0,32.0,5.0,0.0,0.4,0,9.4,89,157,0,47,1146,0,345,5,533,1,0.14,0.0,0,0.0,17,4
2005-01-07,36.0,30.0,32.9,33.1,41.0,30.0,34.7,35.6,-5.0,0.0,-1.8,-2.5,33.1,21.2,27.9,1189,339,876,60.1,1962,9.0,1974,45.0,1971,-13.0,1937,30.0,28.9,29.7,96,65,83,36.5,29.7,32.7,31.9,29.3,2.5,32.0,30.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,34.0,31.3,2.7,34.2,32.2,2.0,0.0,0.0,0.0,0.0,32.0,16.0,0.0,6.8,96,9.5,96,345,0,67,2522,0,491,49,535,9,0.14,0.5,50,0.22,17,15
2005-01-08,32.0,21.9,28.9,27.0,42.1,30.0,35.1,36.0,-10.1,-8.1,-6.1,-9.0,32.0,17.8,27.7,1037,345,593,63.0,1953,9.0,1974,45.0,1971,1.9,1974,30.9,28.9,29.8,96,62,82,37.2,29.7,33.1,38.0,29.0,9.0,36.0,29.9,6.1,0.0,0.0,0.0,0.0,0.0,0.0,38.7,29.5,9.2,36.7,30.4,6.3,0.0,0.0,0.0,0.0,33.3,6.0,0.0,1.8,0,9.4,71,734,0,86,5360,0,627,113,536,21,0.14,0.2,8,0.02,17,4
2005-01-09,36.0,28.9,32.9,32.4,42.1,30.0,35.1,36.0,-6.1,-1.1,-2.2,-3.6,35.1,25.5,30.4,1023,328,599,59.0,2006,12.0,1974,46.4,1997,-2.9,1930,30.9,28.9,29.8,96,62,82,37.2,29.7,33.1,32.6,29.0,3.6,32.0,29.9,2.2,0.0,0.0,0.0,0.0,0.0,0.0,33.5,29.9,3.6,32.9,30.8,2.2,0.0,0.0,0.0,0.0,35.6,10.0,0.0,2.9,0,9.3,100,157,0,47,1146,0,345,0,538,0,0.14,0.1,29,0.01,17,4
2005-01-10,33.1,30.0,31.8,31.6,42.1,30.0,35.1,36.0,-9.0,0.0,-3.2,-4.3,32.0,22.5,25.5,1077,778,957,55.0,1994,12.9,1974,41.0,1967,-5.1,1930,30.9,28.9,30.2,96,65,83,37.6,29.7,33.1,33.3,29.0,4.3,33.1,29.9,3.2,0.0,0.0,0.0,0.0,0.0,0.0,35.6,31.0,4.7,35.5,31.9,3.6,0.0,0.0,0.0,0.0,34.7,10.0,3.0,6.9,64,9.3,100,157,0,47,1146,0,345,0,539,0,0.14,0.1,21,0.01,17,4
2005-01-11,39.0,28.9,33.4,34.0,42.1,30.0,35.1,36.0,-3.1,-1.1,-1.6,-2.0,37.0,25.9,30.7,1146,316,665,57.9,1991,14.0,1937,42.1,1953,-8.0,1937,30.9,28.9,30.2,96,65,83,37.6,29.7,33.1,31.0,29.0,2.0,31.5,29.9,1.6,0.0,0.0,0.0,0.0,0.0,0.0,32.6,30.4,2.2,33.1,31.3,1.8,0.0,0.0,0.0,0.0,32.9,20.0,0.0,5.0,2,9.3,87,623,0,95,4547,0,691,128,541,24,0.14,0.0,0,0.0,17,4
2005-01-12,48.0,34.0,42.8,41.0,42.1,30.0,35.1,36.0,5.9,4.0,7.7,5.0,44.1,30.7,37.9,972,275,807,64.9,1994,15.1,1930,48.9,1967,-2.9,1930,30.9,28.9,30.6,100,65,84,37.6,29.7,33.3,23.9,29.0,-5.0,22.1,29.9,-7.7,0.0,0.0,0.0,0.0,0.0,0.0,26.6,32.2,-5.6,24.7,33.3,-8.6,0.0,0.0,0.0,0.0,32.0,21.0,0.0,11.3,306,9.3,85,343,0,65,2502,0,472,71,543,13,0.14,0.0,16,0.01,17,4
2005-01-13,48.0,30.0,41.4,39.0,42.1,30.0,35.1,36.0,5.9,0.0,6.3,3.1,43.0,21.4,35.4,1185,281,841,59.0,1967,16.0,1930,48.0,1967,0.0,1950,32.0,30.0,30.7,100,65,85,37.6,30.0,33.3,25.9,29.0,-3.1,23.6,29.9,-6.3,0.0,0.0,0.0,0.0,0.0,0.0,28.6,32.0,-3.4,26.1,32.9,-6.8,0.0,0.0,0.0,0.0,32.0,20.0,0.0,10.4,299,9.1,88,595,0,102,4346,0,748,159,545,29,0.14,0.0,25,0.0,17,4
2005-01-14,30.9,25.0,28.8,28.0,42.1,30.0,35.1,36.0,-11.2,-5.0,-6.3,-7.9,25.0,15.1,19.9,1183,944,1097,59.0,1976,12.9,1950,50.0,1976,-4.0,1947,32.0,30.0,31.1,100,68,86,37.9,30.0,33.4,36.9,29.0,7.9,36.2,29.9,6.3,0.0,0.0,0.0,0.0,0.0,0.0,40.3,31.7,8.6,39.6,32.8,6.8,0.0,0.0,0.0,0.0,32.0,13.0,6.0,9.4,95,9.1,100,157,0,47,1146,0,344,0,546,0,0.14,0.0,0,0.0,17,4
2005-01-15,26.1,19.9,21.9,23.0,42.1,30.0,35.1,36.0,-16.0,-10.1,-13.1,-13.0,21.9,10.0,14.4,1296,409,1089,57.0,1989,10.9,1930,43.0,1994,-4.0,1950,32.0,30.0,31.3,100,68,87,37.9,30.0,33.4,41.9,29.0,13.0,43.0,29.9,13.1,0.0,0.0,0.0,0.0,0.0,0.0,45.2,31.1,14.0,46.3,32.2,14.0,0.0,0.0,0.0,0.0,32.0,12.0,0.0,7.6,84,9.1,100,157,0,47,1146,0,344,0,548,0,0.14,2.0,45,0.16,17,15
