,DATE,STATION_CODES,DEPART_NORMAL__HDDS_FROM_XN__BASE_OF_65_F,DEPART_NORMAL__EDDS_FROM_XN__BASE_OF_65_F,COLDEST_WINDCHILL_TEMP__F,DEPART_NORMAL__CDDS_ALL_HOURS__BASE_OF_65_F,NORMAL_AVG_DAILY_WET_BULB_TEMP_ALL_HOURS__F,NORMAL_GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,AVG_DAILY_TEMP_ALL_HOURS__F,DEPART_NORMAL__EDDS_ALL_HOURS__BASE_OF_65_F,WARMEST_WINDCHILL_TEMP__F,HIGH_TEMP_F
0,1998-01-01,0,3.4,3.6,25.0,0.0,35.8,0.0,35.8,2.5,41.0,43.0
1,1998-01-02,0,-3.6,-3.6,34.0,0.0,35.8,0.0,43.0,-4.9,46.9,48.9
2,1998-01-03,0,0.0,0.0,27.5,0.0,36.0,0.0,39.0,-0.7,48.9,48.9
3,1998-01-04,0,2.5,2.7,24.8,0.0,36.1,0.0,37.0,1.4,43.0,45.0
4,1998-01-05,0,3.4,3.4,28.0,0.0,36.1,0.0,36.3,2.0,46.0,46.0
5,1998-01-06,0,0.9,1.1,30.9,0.0,36.3,0.0,39.4,-0.9,43.0,45.0
6,1998-01-07,0,-4.1,-4.1,35.6,0.0,36.9,0.0,42.8,-4.0,50.0,52.0
7,1998-01-08,0,1.4,1.4,33.1,0.0,37.2,0.0,39.6,-0.5,46.0,46.9
8,1998-01-09,0,2.5,2.5,34.0,0.0,37.2,0.0,39.6,-0.4,43.0,44.1
9,1998-01-10,0,-2.5,-2.5,41.0,0.0,37.2,0.0,43.7,-4.3,46.0,46.0
10,1998-01-11,0,-5.0,-5.2,39.9,0.0,37.2,0.0,45.0,-5.8,51.1,52.0
11,1998-01-12,0,-2.0,-2.2,35.1,0.0,37.2,0.0,42.3,-2.9,46.0,48.0
12,1998-01-13,0,-2.9,-3.1,32.2,0.0,37.2,0.0,45.5,-6.3,51.1,52.0
13,1998-01-14,0,-7.2,-7.9,40.6,0.0,37.4,0.0,48.6,-9.7,48.0,53.1
14,1998-01-15,0,-4.1,-4.1,41.0,0.0,37.2,0.0,45.0,-5.2,50.0,50.0
15,1998-01-16,0,-8.3,-8.5,44.1,0.0,37.2,0.0,46.9,-7.2,52.0,55.0
16,1998-01-17,0,-6.1,-6.3,35.6,0.0,37.0,0.0,49.3,-9.7,52.5,57.0
17,1998-01-18,0,-4.1,-4.3,31.6,0.0,36.9,0.0,42.8,-3.1,50.2,55.0
18,1998-01-19,0,1.6,1.6,33.1,0.0,37.0,0.0,39.2,1.1,46.9,46.9
19,1998-01-20,0,0.5,0.5,35.1,0.0,36.9,0.0,39.9,0.4,46.9,48.0
