DEPART_NORMAL__HDDS_FROM_XN__BASE_OF_65_F,COLDEST_WIND_CHILL__F,NORMAL_GROWING_DEGREE_DAYS_XN__BASE_OF_50_F,DEPART_NORMAL__EDDS_FROM_XN__BASE_OF_65_F,COLDEST_WINDCHILL_TEMP__F,MINIMUM_FEELS_LIKE_TEMP__F,AVG_HEAT_INDEX_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_ALL_HOURS__F,LOWEST_WET_BULB_TEMP__F,NORMAL_AVG_DAILY_WET_BULB_TEMP_ALL_HOURS__F,AVG_DAILY_TEMP_ALL_HOURS__F
3.4,30.0,0.0,3.6,25.0,25.0,36.0,35.8,30.0,35.8,35.8
-3.6,37.9,0.0,-3.6,34.0,34.0,42.8,43.0,36.7,35.8,43.0
0.0,30.9,0.0,0.0,27.5,27.5,39.0,39.0,30.9,36.0,39.0
2.5,30.0,0.0,2.7,24.8,24.8,36.9,37.0,29.3,36.1,37.0
3.4,28.0,0.0,3.4,28.0,28.0,36.3,36.3,27.7,36.1,36.3
0.9,35.1,0.0,1.1,30.9,30.9,39.4,39.4,33.8,36.3,39.4
-4.1,37.9,0.0,-4.1,35.6,35.6,42.8,42.8,37.0,36.9,42.8
1.4,33.1,0.0,1.4,33.1,33.1,39.2,39.6,32.7,37.2,39.6
2.5,34.0,0.0,2.5,34.0,34.0,39.6,39.6,33.3,37.2,39.6
-2.5,41.0,0.0,-2.5,41.0,41.0,43.7,43.7,41.0,37.2,43.7
-5.0,39.9,0.0,-5.2,39.9,39.9,44.6,45.0,39.0,37.2,45.0
-2.0,39.0,0.0,-2.2,35.1,35.1,42.3,42.3,38.5,37.2,42.3
-2.9,37.0,0.0,-3.1,32.2,32.2,45.7,45.5,36.5,37.2,45.5
-7.2,44.1,0.0,-7.9,40.6,40.6,48.4,48.6,42.6,37.4,48.6
-4.1,41.0,0.0,-4.1,41.0,41.0,45.0,45.0,41.0,37.2,45.0
-8.3,44.1,0.0,-8.5,44.1,44.1,47.1,46.9,43.5,37.2,46.9
-6.1,37.9,0.0,-6.3,35.6,35.6,48.7,49.3,37.6,37.0,49.3
-4.1,37.0,0.0,-4.3,31.6,31.6,42.8,42.8,36.5,36.9,42.8
1.6,34.0,0.0,1.6,33.1,33.1,39.2,39.2,34.0,37.0,39.2
0.5,35.1,0.0,0.5,35.1,35.1,39.7,39.9,34.7,36.9,39.9
4.0,34.0,0.0,4.0,28.6,28.6,38.7,38.7,33.6,36.9,38.7
-0.9,39.9,0.0,-0.9,36.3,36.3,42.8,42.8,39.6,36.7,42.8
-5.4,37.0,0.0,-5.8,33.1,33.1,44.1,44.4,36.5,36.7,44.4
0.0,33.1,0.0,0.0,27.5,27.5,40.6,40.6,32.7,36.7,40.6
-6.1,37.9,0.0,-6.7,32.9,32.9,46.6,46.6,37.6,36.9,46.6
-2.2,41.0,0.0,-2.2,41.0,41.0,45.1,45.3,41.0,36.9,45.3
1.4,37.0,0.0,1.4,37.0,37.0,41.9,41.9,37.0,36.9,41.9
-6.5,37.0,0.0,-7.6,37.0,37.0,50.4,50.0,36.5,36.9,50.0
-3.4,32.0,0.0,-3.6,32.0,32.0,45.9,46.4,31.6,37.0,46.4
2.0,32.0,0.0,2.0,28.4,28.4,38.5,38.5,31.6,37.0,38.5
-3.4,37.0,0.0,-3.8,33.3,33.3,48.6,48.9,35.8,37.0,48.9
-2.0,39.0,0.0,-2.2,35.2,35.2,46.0,46.2,38.1,37.2,46.2
-0.9,39.0,0.0,-1.1,36.3,36.3,43.3,43.0,38.1,37.2,43.0
-6.8,42.1,0.0,-7.6,39.4,39.4,51.8,52.2,41.2,37.4,52.2
-3.4,36.0,0.0,-3.6,30.9,30.9,48.6,48.4,35.6,37.6,48.4
-0.4,37.0,0.0,-0.5,33.1,33.1,47.5,47.1,36.5,37.8,47.1
-5.4,37.9,0.0,-6.5,37.9,37.9,52.7,53.2,36.3,37.9,53.2
-2.0,36.0,0.0,-2.3,32.2,32.2,47.8,47.8,35.2,38.1,47.8
-0.7,37.9,0.0,-0.7,36.9,36.9,44.4,44.8,37.4,38.5,44.8
1.8,34.0,0.0,1.8,29.1,29.1,41.5,41.5,33.6,38.7,41.5
-0.2,37.0,0.0,-0.2,33.1,33.1,44.8,45.1,35.8,38.7,45.1
0.9,36.0,0.0,0.9,33.1,33.1,43.9,43.7,35.6,38.8,43.7
-5.6,37.9,0.0,-6.3,34.0,34.0,48.7,49.3,37.6,38.8,49.3
0.0,37.9,0.0,0.0,34.0,34.0,44.2,43.9,37.6,39.2,43.9
0.0,37.0,0.0,0.0,35.2,35.2,44.4,44.8,36.5,39.4,44.8
1.6,36.0,0.0,1.6,31.6,31.6,42.4,42.6,35.2,39.4,42.6
-0.4,35.1,0.0,-0.4,28.6,28.6,45.1,45.1,33.8,39.6,45.1
0.9,36.0,0.0,0.9,35.2,35.2,44.1,44.2,34.0,39.9,44.2
-0.5,37.9,0.0,-0.5,35.2,35.2,47.7,47.5,36.7,39.9,47.5
0.5,37.0,0.0,0.5,33.1,33.1,44.6,45.0,36.1,39.9,45.0
4.1,34.0,0.0,4.5,29.5,29.5,41.9,41.9,33.3,39.9,41.9
6.5,34.0,0.0,6.8,29.1,29.1,39.9,40.1,33.6,40.1,40.1
5.4,35.1,0.0,5.6,35.1,35.1,40.5,40.6,34.7,40.3,40.6
7.6,34.0,0.0,7.7,29.5,29.5,39.7,39.7,33.6,40.3,39.7
1.4,39.0,0.0,1.4,35.1,35.1,43.3,43.5,36.5,40.1,43.5
5.0,35.1,0.0,5.2,31.6,31.6,39.9,40.1,34.7,40.1,40.1
5.0,32.0,0.0,5.0,32.0,32.0,41.0,41.0,31.3,40.1,41.0
2.5,37.9,0.0,2.5,37.9,37.9,43.7,43.7,36.3,40.3,43.7
-4.1,44.1,0.0,-4.1,44.1,44.1,49.3,49.3,43.5,40.3,49.3
-1.1,45.0,0.0,-1.1,43.0,43.0,47.5,47.7,44.6,40.5,47.7
4.0,35.1,0.0,4.1,35.1,35.1,45.0,45.3,34.3,40.3,45.3
9.7,30.0,0.0,9.9,30.0,30.0,37.8,37.8,30.0,40.5,37.8
7.2,30.9,0.0,7.4,30.9,30.9,38.5,38.8,29.8,40.6,38.8
9.0,26.1,0.0,9.2,21.2,21.2,36.9,37.0,25.3,40.8,37.0
8.5,28.0,0.0,8.6,23.5,23.5,37.9,38.1,27.0,41.0,38.1
9.4,28.9,0.0,9.7,28.9,28.9,39.0,39.0,27.0,41.0,39.0
4.5,36.0,0.0,4.5,33.1,33.1,42.6,43.0,35.2,41.2,43.0
1.4,34.0,0.0,1.4,29.5,29.5,44.2,44.4,33.6,41.2,44.4
8.5,30.9,0.0,8.6,30.9,30.9,40.8,40.8,30.2,41.2,40.8
-3.1,35.1,0.0,-3.1,35.1,35.1,51.4,51.6,34.3,41.2,51.6
-5.9,45.0,0.0,-6.1,41.7,41.7,52.0,52.2,43.7,41.2,52.2
-7.9,46.0,0.0,-8.3,45.9,45.9,54.3,54.5,45.1,41.4,54.5
-4.0,39.0,0.0,-4.1,39.0,39.0,53.2,53.2,38.5,41.5,53.2
-7.6,51.1,0.0,-7.7,49.5,49.5,54.7,54.7,50.0,41.5,54.7
-4.5,44.1,0.0,-4.7,43.5,43.5,52.7,53.1,41.4,41.5,53.1
1.1,36.0,0.0,1.3,34.5,34.5,47.1,47.5,34.9,41.7,47.5
